sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,2732,23.9653,24.4359,0.470588,0,0.0740952,24.184,0.0665223,-0.00467225,24.247,0.0553818,0.30664,0.00608304,27.138,27.1319,100.66,0.00993479,0.0171997
MPU6050,accelerometer,X,2732,-0.404541,0.315186,0.719727,-1.18897e-05,0.0204931,0.0353925,0.0538542,-0.000293917,0.0393576,0.0537945,0.0018515,0.00608304,27.138,27.1319,100.66,0.00993479,0.0171997
MPU6050,accelerometer,Y,2732,-0.331299,0.529297,0.860596,1.86838e-05,0.0274371,0.0130115,0.0779438,-0.000488952,0.0196076,0.0778342,0.00244615,0.00608304,27.138,27.1319,100.66,0.00993479,0.0171997
MPU6050,accelerometer,Z,2732,0.0358887,2.10278,2.06689,-3.45069e-05,0.0443516,1.03281,0.249154,-0.000414163,1.0384,0.249087,0.000171758,0.00608304,27.138,27.1319,100.66,0.00993479,0.0171997
MPU6050,gyroscope,X,2732,-83.3206,94.8626,178.183,0.00546175,6.76589,4.44983,17.8829,-0.0854759,5.60292,17.8669,0.00142011,0.00608304,27.138,27.1319,100.66,0.00993479,0.0171997
MPU6050,gyroscope,Y,2732,-84.9695,90.8931,175.863,0.0221545,3.39442,0.263552,14.7535,0.0158409,0.0498526,14.7503,7.16609e-05,0.00608304,27.138,27.1319,100.66,0.00993479,0.0171997
MPU6050,gyroscope,Z,2732,-41.6641,69.313,110.977,0.00623601,2.24252,0.762135,8.00992,0.0887691,-0.435388,7.97783,0.00763447,0.00608304,27.138,27.1319,100.66,0.00993479,0.0171997
HMC5833L,magnetometer,X,2101,0.00642202,0.184404,0.177982,-2.79598e-05,0.00273292,0.118062,0.0268944,-0.00137817,0.136648,0.0245977,0.163105,0.00979208,27.115,27.1052,77.48,0.0129072,0.0212407
HMC5833L,magnetometer,Y,2101,-0.400917,-0.277982,0.122936,-7.42682e-06,0.00227885,-0.360156,0.020565,-0.000285376,-0.356307,0.0204368,0.0119609,0.00979208,27.115,27.1052,77.48,0.0129072,0.0212407
HMC5833L,magnetometer,Z,2101,-0.130275,0.0743119,0.204587,-7.42682e-06,0.0030039,-0.0259859,0.0403385,-0.000346136,-0.0213179,0.0402366,0.0045734,0.00979208,27.115,27.1052,77.48,0.0129072,0.0212407
