pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,-0.0335433,-0.0200594,-0.0708878,0.0191297,-0.0366194,-0.0260069,-0.0068094,0.0381585,-0.0325196
accel_x,-0.0335433,1,-0.000483193,-0.0254514,-0.00958658,0.0551748,0.0183133,-0.0199359,0.00512772,-0.0106331
accel_y,-0.0200594,-0.000483193,1,0.0452617,-0.240396,-0.0669382,-0.0368623,-0.0932434,0.0380673,0.380165
accel_z,-0.0708878,-0.0254514,0.0452617,1,-0.0204813,-0.0345938,0.031289,-0.429684,-0.182033,0.208306
gyro_x,0.0191297,-0.00958658,-0.240396,-0.0204813,1,-0.0591108,-0.0137678,0.292185,-0.14734,-0.486356
gyro_y,-0.0366194,0.0551748,-0.0669382,-0.0345938,-0.0591108,1,0.0398774,-0.0290669,-0.0343078,0.0355442
gyro_z,-0.0260069,0.0183133,-0.0368623,0.031289,-0.0137678,0.0398774,1,-0.0757807,-0.00600505,-0.00329376
magnetometer_x,-0.0068094,-0.0199359,-0.0932434,-0.429684,0.292185,-0.0290669,-0.0757807,1,0.394437,-0.631721
magnetometer_y,0.0381585,0.00512772,0.0380673,-0.182033,-0.14734,-0.0343078,-0.00600505,0.394437,1,0.158506
magnetometer_z,-0.0325196,-0.0106331,0.380165,0.208306,-0.486356,0.0355442,-0.00329376,-0.631721,0.158506,1
